Listing of Ray Database QUBIC_TD_NS_DICHROIC_64.ZRD
ZRD Format : Compressed Full Data. Double precision data converted to floating point precision.
Units are Millimeters.
Segment 0 data is at the source point of the ray.
Subsequent segment coordinate data is at the end of the segment.
Intensity, phase, cosine, field, and path to values are prior to reflection,
refraction, splitting, absorbing, or scattering at the end point.
End of segment: X = Terminated, R = Reflected, T = Transmitted, S = Scattered, D = Diffracted, B = Bulk Scattered
Split from parent: G = Ghost, E = Diffracted, F = Scattered
Z = Ray Error (terminated)
Filter: none

Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	   7.954951286E+00 	  5.183794022E+01 	 -4.262293701E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -2.301017195E-02 	  4.307156801E-01 	  9.021943212E-01 	   4.262293701E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	  -1.715766668E+00 	  2.328591766E+02 	 -2.799761047E+02 	  -4.151929170E-02 	  7.771784663E-01 	  6.279090643E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.329210777E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	  -1.373791122E+01 	  4.578955688E+02 	 -9.816150665E+01 	  -4.151929170E-02 	  7.771784663E-01 	  6.279090643E-01 	  -3.790932149E-02 	  5.463239551E-01 	  8.367156386E-01 	   2.895556214E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	  -2.129307032E+00 	  3.583852539E+02 	 -4.637301636E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.790481571E+02	  -5.798991203E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   9.580747485E-01 	  3.319198303E+02 	 -5.609554443E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   1.008102465E+02	  -3.187728167E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   9.688152075E-01 	  3.318277588E+02 	 -5.612937012E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.507281166E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 3, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	   1.803122330E+01 	  4.317588425E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
