Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	   7.954951286E+00 	  5.183794022E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	   7.954951286E+00 	  5.183794022E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	   7.954951286E+00 	  5.183794022E+01 	 -4.262293701E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -2.301017195E-02 	  4.307156801E-01 	  9.021943212E-01 	   4.262293701E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	  -1.715766668E+00 	  2.328591766E+02 	 -2.799761047E+02 	  -4.151929170E-02 	  7.771784663E-01 	  6.279090643E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.329210777E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	  -1.373791122E+01 	  4.578955688E+02 	 -9.816150665E+01 	  -4.151929170E-02 	  7.771784663E-01 	  6.279090643E-01 	  -3.790932149E-02 	  5.463239551E-01 	  8.367156386E-01 	   2.895556214E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	  -2.129307032E+00 	  3.583852539E+02 	 -4.637301636E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.790481571E+02	  -5.798991203E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   9.580747485E-01 	  3.319198303E+02 	 -5.609554443E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   1.008102465E+02	  -3.187728167E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   9.688152075E-01 	  3.318277588E+02 	 -5.612937012E+02 	   3.062567115E-02 	 -2.625268698E-01 	 -9.644385576E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.507281166E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 3, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	   1.803122330E+01 	  4.317588425E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	   1.803122330E+01 	  4.317588425E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	   1.803122330E+01 	  4.317588425E+01 	 -4.215733337E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -4.975537211E-02 	  4.493351579E-01 	  8.919766545E-01 	   4.215733337E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	  -2.996979952E+00 	  2.330792084E+02 	 -2.815030518E+02 	  -8.876126260E-02 	  8.015929461E-01 	  5.912446380E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.369074540E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	  -2.917555046E+01 	  4.694949341E+02 	 -1.071258698E+02 	  -8.876126260E-02 	  8.015929461E-01 	  5.912446380E-01 	  -7.910753787E-02 	  5.742831230E-01 	  8.148256540E-01 	   2.949323897E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	  -6.587874889E+00 	  3.633556519E+02 	 -4.586058655E+02 	   6.140451133E-02 	 -2.885392308E-01 	 -9.554970264E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.678504285E+02	  -5.068773270E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   3.684433177E-03 	  3.323819580E+02 	 -5.611751709E+02 	   6.140451133E-02 	 -2.885392308E-01 	 -9.554970264E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   1.073465453E+02	  -3.793164492E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   2.515167184E-02 	  3.322810974E+02 	 -5.615092163E+02 	   6.140451133E-02 	 -2.885392308E-01 	 -9.554970264E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.495998257E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 4, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	   2.563262177E+01 	  3.451382446E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	   2.563262177E+01 	  3.451382446E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	   2.563262177E+01 	  3.451382446E+01 	 -4.165833130E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -6.951213628E-02 	  4.671095014E-01 	  8.814628720E-01 	   4.165833130E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	  -3.945994616E+00 	  2.332769928E+02 	 -2.828755798E+02 	  -1.225447357E-01 	  8.234793544E-01 	  5.539535880E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.413699433E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	  -4.073868942E+01 	  4.805175171E+02 	 -1.165571747E+02 	  -1.225447357E-01 	  8.234793544E-01 	  5.539535880E-01 	  -1.108202413E-01 	  6.010180116E-01 	  7.915151119E-01 	   3.002388901E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	  -9.425211906E+00 	  3.676525574E+02 	 -4.554002991E+02 	   8.734193444E-02 	 -3.148115277E-01 	 -9.451270103E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.585159633E+02	  -2.372003078E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   3.511961401E-01 	  3.324148865E+02 	 -5.611907959E+02 	   8.734193444E-02 	 -3.148115277E-01 	 -9.451270103E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   1.119325727E+02	  -3.789319038E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   3.816720843E-01 	  3.323050537E+02 	 -5.615205688E+02 	   8.734193444E-02 	 -3.148115277E-01 	 -9.451270103E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.489157738E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 5, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -7.601397991E+00 	  5.183794022E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	  -7.601397991E+00 	  5.183794022E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	  -7.601397991E+00 	  5.183794022E+01 	 -4.262515564E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   2.027587034E-02 	  4.308212698E-01 	  9.022094607E-01 	   4.262515564E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	   9.183484316E-01 	  2.328653412E+02 	 -2.800188904E+02 	   3.658616543E-02 	  7.773820758E-01 	  6.279638410E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.328679853E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	   1.151483154E+01 	  4.580191956E+02 	 -9.814116669E+01 	   3.658616543E-02 	  7.773820758E-01 	  6.279638410E-01 	   3.151050210E-02 	  5.463853478E-01 	  8.369409442E-01 	   2.896308857E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	   2.521658182E+00 	  3.570874939E+02 	 -4.692654419E+02 	  -2.337653749E-02 	 -2.623582780E-01 	 -9.646873474E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.847093880E+02	  -5.646899223E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   2.974427640E-01 	  3.321248169E+02 	 -5.610529175E+02 	  -2.337653749E-02 	 -2.623582780E-01 	 -9.646873474E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   9.514737543E+01	  -3.212331772E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   2.892458141E-01 	  3.320328064E+02 	 -5.613911743E+02 	  -2.337653749E-02 	 -2.623582780E-01 	 -9.646873474E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.506434212E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 6, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -3.535533845E-01 	  4.388299179E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	  -3.535533845E-01 	  4.388299179E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	   3 	   0 	 -*-- 	----	 --	  -3.535533845E-01 	  4.388299179E+01 	 -4.224400940E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   1.577952644E-04 	  4.482241571E-01 	  8.939211965E-01 	   4.224400940E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M1_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   3 	   2 	   3 	   0 	   8 	   0 	 --*- 	----	 --	  -2.869611382E-01 	  2.330410767E+02 	 -2.812384644E+02 	   2.821130620E-04 	  8.013541102E-01 	  5.981901884E-01 	   0.000000000E+00 	  9.897762537E-01 	  1.426289380E-01 	   2.360480581E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 CS Aperture
   4 	   3 	   4 	   0 	   4 	   0 	 -*-- 	----	 --	  -2.039544731E-01 	  4.688250732E+02 	 -1.052318039E+02 	   2.821130620E-04 	  8.013541102E-01 	  5.981901884E-01 	  -1.073190593E-03 	  5.730746984E-01 	  8.195024133E-01 	   2.942319569E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 TD_M2_3Dmeas_5mm_deformto1K_Grasp_Exp_STP_Qubic_GRF.stp
   5 	   4 	   5 	   0 	  13 	   0 	 --*- 	----	 --	   6.726651192E-01 	  3.604335632E+02 	 -4.672031555E+02 	   2.320002764E-03 	 -2.868617177E-01 	 -9.579691887E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   3.778528117E+02	  -2.516766310E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	   5 	   0 	 --*- 	----	 --	   9.001570344E-01 	  3.323048401E+02 	 -5.611384888E+02 	   2.320002764E-03 	 -2.868617177E-01 	 -9.579691887E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   9.805673690E+01	  -3.786856413E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF
   7 	   6 	   7 	   0 	   6 	   0 	 *--- 	----	 --	   9.009668827E-01 	  3.322047119E+02 	 -5.614729004E+02 	   2.320002764E-03 	 -2.868617177E-01 	 -9.579691887E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   3.490808493E-01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFPRF Ray Absorber

Ray 7, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	   8.308505058E+00 	  3.380672073E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	   2 	   0 	 --*- 	----	 --	   8.308505058E+00 	  3.380672073E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
