Ray 1, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   4 	   3 	   4 	   0 	  14 	   0 	 -*-- 	----	 --	   1.901231232E+02 	  4.021912537E+02 	 -1.293948059E+02 	   5.941425562E-01 	  6.019307375E-01 	  5.335484743E-01 	  -5.196128488E-01 	 -3.929787576E-01 	 -7.586634159E-01 	   2.814181048E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M2_1K_01um.step
   5 	   4 	   5 	   0 	  21 	   0 	 --*- 	----	 --	   2.929553986E+01 	  3.429732361E+02 	 -5.008055725E+02 	  -3.931777179E-01 	 -1.447712183E-01 	 -9.079937339E-01 	   7.688335776E-01 	  3.120211884E-02 	  6.386872530E-01 	   4.090455264E+02	  -5.130511761E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Dichroic ZYZ RF
   6 	   5 	   6 	   0 	  23 	   0 	 --*- 	----	 --	   2.969592571E+00 	  3.332798157E+02 	 -5.616019897E+02 	  -3.931777179E-01 	 -1.447712183E-01 	 -9.079937339E-01 	   0.000000000E+00 	  4.293450117E-01 	  9.031405449E-01 	   6.695686857E+01	  -2.129889727E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 ONFP w/Y TRANS
   7 	   6 	   7 	   0 	   0 	   0 	 *--- 	----	 --	  -2.272942352E+01 	  3.238172302E+02 	 -6.209505615E+02 	  -3.931777179E-01 	 -1.447712183E-01 	 -9.079937339E-01 	                 -                 	-                 	- 	   6.536232037E+01	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Missed

Ray 3, Branch 1 of 1:
Seg# 	 Prnt 	 Levl 	 In 	 Hit 	 Face 	 XRTS 	DGEF 	 BZ	                 X	                Y	                Z	                 L	                M	                N	                Nx	               Ny	               Nz	          Path To	            Phase	               Exr	              Exi	              Eyr	              Eyi	              Ezr	              Ezi 	         Intensity 	 Comment
   0 	   0 	   0 	   0 	   0 	   0 	 ---- 	----	 --	  -1.187940063E+02 	  8.909499359E+01 	  2.500000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	                 -                 	-                 	- 	                -	                -	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 Source 1: 
   1 	   0 	   1 	   0 	  12 	   0 	 --*- 	----	 --	  -1.187940063E+02 	  8.909499359E+01 	  0.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	   0.000000000E+00 	  0.000000000E+00 	  1.000000000E+00 	   2.500000000E+00	  -1.570796371E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 AoI test surface
   2 	   1 	   2 	   0 	  13 	   0 	 -*-- 	----	 --	  -1.187940063E+02 	  8.909499359E+01 	 -4.231226196E+02 	   0.000000000E+00 	  0.000000000E+00 	 -1.000000000E+00 	  -3.186689913E-01 	 -3.231942952E-01 	 -8.910642862E-01 	   4.231226196E+02	   0.000000000E+00	   0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	  0.000000000E+00 	   1.000000000E+00 	 M1_1K_01um.step
